JF001-0001|SIEMPRE la había visto sobre su mesa, al alcance de su mano bonita, que á veces se entretenía en acariciar la tapa suavemente;|siempre la había visto sobre su mesa, al alcance de su mano bonita, que a veces se entretenía en acariciar la tapa suavemente;
JF001-0002|pero no me era posible averiguar lo que encerraba aquella caja de filigrana de oro con esmaltes finísimos,|pero no me era posible averiguar lo que encerraba aquella caja de filigrana de oro con esmaltes finísimos,
JF001-0003|porque apenas intentaba apoderarme del juguete, su dueña lo escondía precipitada y nerviosamente en los bolsillos de la bata,|porque apenas intentaba apoderarme del juguete, su dueña lo escondía precipitada y nerviosamente en los bolsillos de la bata,
JF001-0004|ó en lugares todavía más recónditos, dentro del seno, haciéndola así inaccesible.|ó en lugares todavía más recónditos, dentro del seno, haciéndola así inaccesible.
JF001-0005|Y cuanto más la ocultaba su dueña, mayor era mi afán por enterarme de lo que la caja contenía.|y cuanto más la ocultaba su dueña, mayor era mi afán por enterarme de lo que la caja contenía.
JF001-0006|¡Misterio irritante y tentador!|¡misterio irritante y tentador!
JF001-0007|¿Qué guardaba el artístico chirimbolo?|¿qué guardaba el artístico chirimbolo?
JF001-0008|¿Bombones? ¿Polvos de arroz? ¿Esencias?|¿bombones? ¿polvos de arroz? ¿esencias?
JF001-0009|Si encerraba alguna de estas cosas tan inofensivas, ¿á qué venía la ocultación?|si encerraba alguna de estas cosas tan inofensivas, ¿a qué venía la ocultación?
JF001-0010|¿Encubría un retrato, una flor seca, pelo?|¿encubría un retrato, una flor seca, pelo?
JF001-0011|tales prendas, ó se llevan mucho más cerca ó se custodian mucho más lejos:|tales prendas, ó se llevan mucho más cerca ó se custodian mucho más lejos:
JF001-0012|ó descansan sobre el corazón, ó se archivan en un secreter bien cerrado, bien seguro.|ó descansan sobre el corazón, ó se archivan en un secreter bien cerrado, bien seguro.
JF001-0013|No eran despojos de amorosa historia los que dormían en la cajita de oro, esmaltada de azules quimeras, fantásticas rosas y volutas de verde ojiacanto.|no eran despojos de amorosa historia los que dormían en la cajita de oro, esmaltada de azules quimeras, fantásticas rosas y volutas de verde ojiacanto.
JF001-0014|Califiquen como gusten mi conducta los incapaces de seguir la pista á una historia, tal vez á una novela.|califiquen como gusten mi conducta los incapaces de seguir la pista a una historia, tal vez a una novela.
JF001-0015|Llámenme enhorabuena indiscreto, antojadizo, y por contera, entrometido y fisgón impertinente.|llámenme enhorabuena indiscreto, antojadizo, y por contera, entrometido y fisgón impertinente.
JF001-0016|Lo cierto es que la cajita me volvía tarumba, y agotados los medios legales, puse en juego los ilícitos y heroicos.|lo cierto es que la cajita me volvía tarumba, y agotados los medios legales, puse en juego los ilícitos y heroicos.
JF001-0017|Mostréme perdidamente enamorado de la dueña, cuando sólo lo estaba de la cajita de oro;|mostréme perdidamente enamorado de la dueña, cuando sólo lo estaba de la cajita de oro;
JF001-0018|cortejé en apariencia á una mujer, cuando sólo cortejaba á un secreto;|cortejé en apariencia a una mujer, cuando sólo cortejaba a un secreto;
